id,female,black,latin,white,employed,wage,collgrad,age,parent_college,numkids,efc
4,1,0,1,0,0,21.92,0,36,0,1,0
6,1,0,1,0,1,9.75,0,35,0,2,0
9,0,0,0,1,1,37.65,1,35,0,0,5.119263
10,0,0,0,1,1,13.28,1,33,0,1,0
11,1,0,1,0,0,20,1,35,0,1,0.9294228000000001
12,0,0,1,0,1,32.69,0,36,0,1,0
13,0,0,1,0,0,NA,0,33,0,0,0
14,0,0,1,0,0,NA,0,37,0,0,0
16,0,0,1,0,1,8,1,35,0,0,0
18,0,1,0,0,0,NA,0,35,0,3,0
19,0,1,0,0,1,18,0,33,0,0,0
20,0,1,0,0,1,15,0,37,0,0,0
21,0,0,1,0,1,12.5,0,35,0,2,0
22,0,0,1,0,1,32.33,0,35,0,2,10.900870000000001
23,1,0,1,0,1,77.88,1,34,0,1,0
24,0,0,1,0,0,9.09,0,33,0,1,0
25,1,0,1,0,0,NA,0,34,0,3,0
26,0,1,0,0,0,NA,0,37,0,0,0
27,0,1,0,0,1,11.25,0,36,0,3,0
28,1,1,0,0,1,22,1,34,0,1,0
31,0,0,0,1,1,41.83,1,35,0,0,0
32,1,0,0,1,1,59.13,1,36,1,1,0
33,1,0,0,1,1,20,1,37,1,2,14.601709999999999
34,1,0,0,1,0,NA,1,33,1,1,0
35,0,0,0,1,1,25,1,34,0,2,0
36,1,0,0,1,0,NA,0,37,1,2,2.232873
37,1,0,0,1,1,33,1,37,0,0,3.016722
38,1,0,0,1,1,32.05,1,36,0,0,3.016722
41,1,0,0,1,1,37.02,1,34,0,1,0
43,1,1,0,0,0,NA,0,36,0,0,0
44,0,0,1,0,0,NA,0,36,0,0,0
45,1,1,0,0,1,11,0,33,0,1,0
47,1,1,0,0,0,11.25,0,35,0,2,0
48,1,1,0,0,1,28.85,1,34,0,2,0
49,1,1,0,0,1,41.6,0,35,0,3,0.9491175
50,1,1,0,0,1,16.5,0,34,0,1,0
51,0,1,0,0,1,20.31,0,37,0,0,0
54,1,1,0,0,1,16,1,33,0,4,0
55,1,0,1,0,1,24.19,1,36,0,1,0.1669721
56,1,0,0,1,1,46.15,1,35,1,3,15.15674
57,0,1,0,0,1,13.14,0,35,0,0,0
59,1,1,0,0,1,12.36,0,36,1,0,0.5434644
61,1,1,0,0,1,12,0,34,0,1,0
62,0,1,0,0,1,14.42,1,37,0,1,21.571240000000003
64,0,1,0,0,1,33.65,0,37,0,0,4.6262550000000005
67,0,1,0,0,1,80,1,37,1,1,0
68,0,1,0,0,0,NA,0,36,0,0,0
69,1,1,0,0,1,41.83,1,36,1,0,5.614256
70,0,1,0,0,1,43.96,1,35,1,2,0
71,0,1,0,0,1,18.71,0,37,0,0,2.177415
72,1,1,0,0,0,NA,1,35,0,0,0
74,0,0,0,1,1,140,1,34,0,0,0
75,0,0,0,1,1,38.46,0,35,0,1,0.6279697
76,0,0,0,1,1,42.79,0,35,0,1,1.222093
78,1,0,0,1,1,13,0,36,0,1,0
79,0,0,1,0,0,8,0,34,0,2,0
80,0,1,0,0,0,NA,0,36,0,0,0.9839154999999999
81,1,1,0,0,0,NA,0,33,0,0,0
82,0,0,1,0,1,21.7,1,33,0,1,0
84,1,0,1,0,0,NA,1,33,0,1,0
85,0,0,0,1,1,15,0,33,0,2,0
86,1,0,0,1,1,27.03,1,37,0,2,0
88,0,0,0,1,1,87.13,0,36,0,0,0
89,0,0,0,1,1,55.9,1,36,0,1,3.421539
90,0,0,1,0,1,28.33,1,36,1,0,0.8325184
91,1,0,1,0,1,29.81,1,35,1,0,0
92,0,0,0,1,0,NA,0,34,0,0,1.9049159999999998
97,0,0,1,0,1,36,1,37,0,1,3.800738
100,1,1,0,0,1,26.42,0,36,0,2,2.173824
101,1,1,0,0,0,NA,0,36,0,3,0
102,1,0,1,0,1,50,1,35,0,0,6.619309
