scuid,ratio,dist,crime,income,moved,scennum,altnum,wave,mvcost,family,norms,homecost,size,taxes,schqual,withincitymove,copyhome,blkscen
119007,6.856462,-5,-.6931472,-.1823216,-1,1,1,1,0,0,0,0,0,0,0,0,0,25
119007,3.912023,5,-1.386294,-.0870114,0,1,3,1,0,0,0,0,0,0,0,0,0,25
119007,6.856462,-5,0,-.0487902,-1,2,1,1,0,0,0,0,0,0,0,0,0,26
119007,3.912023,0,-.6931472,-.0487902,0,2,3,1,0,0,0,0,0,0,0,0,0,26
119007,2.944439,-5,.6931472,-.0571584,-1,3,1,1,0,0,0,0,0,0,0,0,0,27
119007,-3.912023,5,1.386294,.1541507,0,3,3,1,0,0,0,0,0,0,0,0,0,27
119007,6.856462,-5,.6931472,-.2231435,-1,4,1,1,0,0,0,0,0,0,0,0,0,28
119007,3.912023,5,0,.0487902,0,4,3,1,0,0,0,0,0,0,0,0,0,28
119007,-6.906755,-10,0,-.1053605,-1,1,1,1,0,-1,0,0,0,0,0,0,0,33
119007,-6.906755,0,0,.0953102,0,1,3,1,0,-1,0,0,0,0,0,0,0,33
119007,2.197225,-5,0,-.5108256,-1,2,1,1,0,0,0,0,0,0,0,0,0,34
119007,-4.60517,-4,0,-.2231435,0,2,3,1,0,-1,0,0,0,0,0,0,0,34
119007,-4.60517,-2.5,0,-.1466035,-1,3,1,1,0,-1,0,0,0,0,0,0,0,35
119007,2.197225,-2.4,0,-.3184537,0,3,3,1,0,0,0,0,0,0,0,0,0,35
119007,2.197225,-3.5,0,-.1625189,-1,4,1,1,0,0,0,0,0,0,0,0,0,36
119007,-4.60517,1.5,0,.6931472,0,4,3,1,0,-1,0,0,0,0,0,0,0,36
119007,6.856462,-1.5,0,-.0953102,-1,1,1,1,0,0,0,0,0,-5,0,0,0,45
119007,3.912023,1,0,-.2006707,0,1,3,1,0,0,0,0,0,-5,0,0,0,45
119007,2.944439,-1.5,0,0,-1,2,1,1,0,0,0,0,0,5,0,0,0,46
119007,-3.912023,4,0,.0953102,0,2,3,1,0,0,0,0,0,0,0,0,0,46
119007,6.906755,-2.5,0,-.1397619,-1,3,1,1,0,0,0,0,0,-10,0,0,0,47
119007,0,.5,0,-.0909718,0,3,3,1,0,0,0,0,0,-10,0,0,0,47
119007,2.944439,-5.5,0,-.0953102,-1,4,1,1,0,0,0,0,0,5,0,0,0,48
119007,-3.912023,-4.5,0,0,0,4,3,1,0,0,0,0,0,10,0,0,0,48
127011,-5.703783,-10,0,-.3566749,-1,1,1,2,0,-1,0,0,0,0,0,0,0,9
127011,.8472978,0,0,.2623643,0,1,3,2,0,-1,0,0,0,0,0,0,0,9
127011,-6.39693,-5,0,-1.272966,-1,2,1,2,0,0,0,0,0,0,0,0,0,10
127011,-.4054651,-4,0,-.4462871,0,2,3,2,0,-1,0,0,0,0,0,0,0,10
127011,-6.906755,-2.5,0,-.4248832,-1,3,1,2,0,-1,0,0,0,0,0,0,0,11
127011,-6.906755,-2,0,-.6190392,0,3,3,2,0,0,0,0,0,0,0,0,0,11
