ln_wage,idcode,t,Choice,working,exper,collgrad,race,race1,age
999,1,1,2,0,0,0,2,0,17
999,1,2,2,0,0,0,2,0,18
1.451214,1,3,1,1,0,0,2,0,19
1.02862,1,4,1,1,1,0,2,0,20
1.589977,1,5,1,1,2,0,2,0,21
1.780273,1,6,1,1,3,0,2,0,22
1.777012,1,7,1,1,3,0,2,0,24
1.778681,1,8,1,1,3,0,2,0,26
2.493976,1,9,1,1,4,0,2,0,27
2.551715,1,10,1,1,4,0,2,0,29
999,1,11,2,0,4,0,2,0,31
2.420261,1,12,1,1,4,0,2,0,32
2.614172,1,13,1,1,4,0,2,0,34
2.536374,1,14,1,1,4,0,2,0,36
2.462927,1,15,1,1,5,0,2,0,37
999,2,1,2,0,0,0,2,0,17
999,2,2,2,0,0,0,2,0,18
999,2,3,2,0,0,0,2,0,19
1.360348,2,4,1,1,0,0,2,0,20
1.206198,2,5,1,1,1,0,2,0,21
1.549883,2,6,1,1,2,0,2,0,22
1.832581,2,7,1,1,2,0,2,0,24
1.726721,2,8,1,1,2,0,2,0,26
1.68991,2,9,1,1,3,0,2,0,27
1.726964,2,10,1,1,3,0,2,0,29
1.808289,2,11,1,1,3,0,2,0,31
1.863417,2,12,1,1,4,0,2,0,32
1.789367,2,13,1,1,4,0,2,0,34
1.84653,2,14,1,1,4,0,2,0,36
1.856449,2,15,1,1,5,0,2,0,37
1.493561,3,1,1,1,0,0,2,0,23
1.702528,3,2,1,1,1,0,2,0,24
1.451214,3,3,1,1,2,0,2,0,25
1.54742,3,4,1,1,3,0,2,0,26
1.607294,3,5,1,1,4,0,2,0,27
1.597267,3,6,1,1,5,0,2,0,28
1.53585,3,7,1,1,5,0,2,0,30
1.622841,3,8,1,1,5,0,2,0,32
1.566635,3,9,1,1,6,0,2,0,33
1.559723,3,10,1,1,6,0,2,0,35
1.603419,3,11,1,1,6,0,2,0,37
1.614229,3,12,1,1,7,0,2,0,38
1.730799,3,13,1,1,7,0,2,0,40
1.525765,3,14,1,1,7,0,2,0,42
1.612777,3,15,1,1,8,0,2,0,43
999,4,1,2,0,0,1,1,1,23
999,4,2,2,0,0,1,1,1,24
2.2885,4,3,1,1,0,1,1,1,25
2.375578,4,4,1,1,1,1,1,1,26
2.413923,4,5,1,1,2,1,1,1,27
2.280939,4,6,1,1,3,1,1,1,28
2.258814,4,7,1,1,3,1,1,1,30
999,4,8,2,0,3,1,1,1,32
999,4,9,2,0,3,1,1,1,33
1.476236,4,10,1,1,3,1,1,1,35
1.280933,4,11,1,1,3,1,1,1,37
1.515855,4,12,1,1,4,1,1,1,38
1.93017,4,13,1,1,4,1,1,1,40
1.919034,4,14,1,1,4,1,1,1,42
2.200974,4,15,1,1,5,1,1,1,43
1.627093,5,1,1,1,0,0,1,1,23
1.787686,5,2,1,1,1,0,1,1,24
1.820858,5,3,1,1,2,0,1,1,25
1.858522,5,4,1,1,3,0,1,1,26
1.979301,5,5,1,1,4,0,1,1,27
1.990412,5,6,1,1,5,0,1,1,28
1.585505,5,7,1,1,5,0,1,1,30
1.937521,5,8,1,1,5,0,1,1,32
2.070492,5,9,1,1,6,0,1,1,33
1.830269,5,10,1,1,6,0,1,1,35
1.847272,5,11,1,1,6,0,1,1,37
999,5,12,2,0,7,0,1,1,38
999,5,13,2,0,7,0,1,1,40
999,5,14,2,0,7,0,1,1,42
999,5,15,2,0,7,0,1,1,43
1.521732,6,1,1,1,0,0,1,1,22
1.479384,6,2,1,1,1,0,1,1,23
1.479384,6,3,1,1,2,0,1,1,24
