idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1,37,2,0,0,12,0,0,1,0,5,6,1,11.73913,48,10.33333,5.333333
2,37,2,0,0,12,0,0,1,1,4,5,1,6.400963,40,13.62179,5.25
3,42,2,0,1,12,0,0,1,1,4,3,,5.016723,40,17.73077,1.25
4,43,1,1,0,17,1,0,1,0,11,13,1,9.033813,42,13.21154,1.75
6,42,1,1,0,12,0,0,1,0,4,6,0,8.083731,48,17.82051,17.75
7,39,1,1,0,12,0,0,1,0,11,3,0,4.62963,30,7.326923,2.25
9,37,1,0,0,12,0,0,1,1,5,2,1,10.49114,40,19.04487,19
12,40,1,1,0,18,1,0,1,0,11,2,0,17.20612,45,15.55769,14.16667
13,40,1,1,0,14,0,0,1,0,11,3,0,13.08374,8,14.25,5.5
14,40,1,1,0,15,0,0,1,0,11,1,0,7.745568,50,7.384615,2.25
15,39,1,1,0,16,1,0,1,0,11,1,1,16.79548,16,15.76923,8.416667
16,40,1,1,0,15,0,0,1,0,11,1,0,15.48309,40,16.38461,13.83333
18,40,1,1,0,15,0,0,1,0,6,5,0,5.233495,40,7.75,7.75
19,40,1,0,0,15,0,0,1,0,11,1,1,10.16103,40,14.21154,5.583333
20,39,1,1,0,15,0,0,1,0,11,1,1,9.661837,4,15.85897,4.666667
22,41,1,1,0,15,0,0,1,0,11,1,0,9.057972,32,15.01282,3
23,42,1,1,0,15,1,0,0,0,11,1,0,8.05153,45,15.34616,8.083333
24,41,1,1,0,14,1,0,1,0,11,1,0,11.09501,24,16.46795,3.416667
25,42,1,1,0,14,1,0,1,1,11,1,0,9.581316,40,17.75,5.416667
36,37,1,0,1,12,0,0,1,0,8,4,,4.180602,40,15.9359,.9166667
39,44,1,0,0,16,1,0,1,0,11,1,0,9.790657,40,8.839744,7.916667
44,41,1,1,0,18,1,0,1,0,12,1,1,28.45666,35,16.20513,3.5
45,35,1,1,0,12,0,0,1,0,5,3,1,10.18518,38,17.25,17.25
46,44,1,1,0,18,1,0,1,0,11,3,0,3.051529,25,5.544872,2.916667
47,35,1,0,0,12,0,0,1,0,5,5,0,3.526568,40,8.737179,.75
48,35,1,0,0,15,0,0,1,1,7,3,,5.852843,40,5.557693,.3333333
50,36,1,0,0,16,1,0,1,1,11,1,,35.73162,45,9.423077,6.416667
51,38,1,1,0,12,0,0,1,0,11,1,0,4.428341,18,10.26923,3.25
54,40,1,0,1,12,0,0,1,1,11,8,0,5.032206,55,10.39744,.75
57,42,1,1,0,12,0,0,1,1,6,3,0,5.780996,40,12.84615,7.25
62,38,1,1,0,10,0,0,0,0,6,3,0,5.11272,40,7.365385,5.916667
63,44,1,0,0,15,1,0,1,1,11,1,1,25.1606,18,10.38461,2.083333
64,38,1,1,0,12,0,0,1,0,11,8,1,4.404185,30,7.384615,3.333333
66,39,1,1,0,13,0,0,1,1,6,4,0,4.710144,9,11.48077,9.75
67,40,1,1,0,15,0,0,0,0,11,1,0,8.05153,24,11.03846,3.166667
70,36,1,1,0,13,0,0,0,0,5,3,0,16.73912,38,16.08333,16.08333
71,34,1,1,0,12,0,0,0,0,4,3,0,5.724636,38,10.5,2.5
72,36,1,1,0,12,0,0,1,0,11,3,1,7.458193,40,9.442307,1.083333
73,36,1,0,1,14,0,0,0,0,4,3,,6.793478,40,14.44231,.5
75,39,2,0,0,11,0,0,0,0,4,6,1,12.5,40,14.5,9.333333
78,40,1,1,0,12,0,0,1,1,7,3,0,17.69726,35,16.32692,9.083333
80,45,1,1,0,14,0,0,1,0,11,3,0,12.0773,8,5.717949,0
85,38,1,0,0,11,0,0,1,1,4,3,,9.406354,40,6.192307,1.5
86,44,1,0,1,17,1,0,1,0,10,8,1,13.17229,44,16.26923,1.25
103,36,1,1,0,18,1,0,1,1,11,13,1,11.0628,35,9.833333,0
104,41,1,1,0,17,1,0,1,0,11,13,0,3.743959,18,8.948718,2.75
105,41,1,1,0,16,1,0,1,0,6,3,0,4.025765,8,8.788462,5.583333
106,38,2,0,0,12,0,1,1,1,12,3,0,10.83736,40,17.41667,17.41667
107,43,2,0,0,8,0,0,1,1,4,6,1,4.347824,40,7.544871,1.083333
110,45,1,1,0,12,0,0,1,0,11,3,1,4.710144,20,6.660256,2.583333
121,39,2,1,0,12,0,0,1,1,5,3,1,9.726243,38,20.69872,20.66667
123,41,3,0,0,6,0,0,1,1,8,6,1,2.898549,37,7.320513,.75
126,39,2,0,0,12,0,0,1,1,11,1,0,10.06441,40,19.75,19.75
128,36,1,1,0,12,0,0,1,0,7,1,0,8.518515,40,19.03205,19
129,43,1,0,0,12,0,0,1,0,11,3,0,8.49436,37,14.23077,10.16667
130,43,1,1,0,12,0,0,1,0,4,3,0,5.600358,40,6.153846,.6666667
131,41,1,0,0,12,0,0,1,1,11,3,1,4.227053,38,12.26282,.25
132,36,1,0,0,10,0,0,1,1,4,6,0,5.619967,43,10.24359,2.666667
134,42,1,1,0,12,0,0,1,0,12,2,0,4.64573,30,6.128205,1.5
137,36,2,1,0,17,1,0,1,0,11,13,1,15.48309,30,9.833333,9.833333
139,44,2,0,0,9,0,0,1,1,11,3,1,4.830918,35,8.5,8.5
141,43,1,0,0,14,0,0,1,0,11,3,,40.19808,40,12.91026,1.166667
142,43,1,1,0,18,1,0,1,0,11,1,1,15.48309,40,15.11538,5.75
143,37,1,1,0,15,0,0,1,0,11,1,0,10.03344,40,7.076923,.5833333
144,43,1,1,0,10,0,1,1,0,1,3,0,3.623188,40,14.32692,.3333333
147,40,1,1,0,12,0,0,1,0,7,4,0,9.299514,20,7.666667,3.083333
152,37,1,1,0,18,1,0,1,0,11,13,1,10.21739,50,13.67308,4.833333
159,36,1,1,0,11,0,0,1,0,7,4,0,10.00805,37,17.39744,17.33333
166,38,1,1,0,14,0,0,1,0,11,13,0,4.227053,4,10.60256,1.083333
167,37,1,1,0,13,0,1,0,0,3,3,0,4.830918,25,16.98077,7.5
168,41,1,1,0,17,1,1,1,0,11,13,0,7.745568,40,11.30128,3.833333
169,36,1,0,0,16,1,0,1,0,11,13,1,9.847019,37,14.83333,14.83333
172,44,1,1,0,15,1,0,1,1,11,1,0,10.86957,30,17.83333,3.416667
173,43,2,0,0,12,0,0,1,1,9,7,,3.220612,35,11.50641,2.916667
176,38,2,0,1,12,0,0,1,1,12,1,1,8.164251,40,12.84615,3.5
183,43,1,0,0,12,0,0,1,0,4,2,1,8.454107,40,17.1218,13.25
184,41,1,1,0,12,0,0,1,0,11,3,0,8.293073,40,13.78846,12.08333
188,41,1,1,0,12,0,0,1,0,4,3,1,9.677936,40,13.26923,8.416667
195,36,1,1,0,12,0,0,1,0,1,3,0,4.53301,40,12.80128,2.166667
202,36,1,0,0,14,0,1,0,0,6,8,,3.344482,30,11.55128,.25
203,41,1,1,0,11,0,1,1,1,7,4,0,8.454107,24,19.00641,3.166667
204,38,2,1,0,10,0,0,1,1,6,2,0,6.038648,40,5.596154,4
206,37,1,1,0,14,0,0,1,1,11,1,0,10.32206,18,10.33333,1.333333
207,38,2,0,1,18,1,0,1,1,11,1,1,11.6103,50,13.26923,2.083333
210,37,2,0,0,11,0,0,1,0,4,6,,5.016723,40,15.64103,10.91667
213,43,1,0,0,10,0,0,1,1,4,6,0,6.441224,40,16.90385,14.41667
215,36,1,0,1,16,1,0,1,0,6,3,0,5.032206,40,15.85256,3.75
218,35,1,1,0,12,0,0,0,0,11,2,0,4.830918,38,10.11538,2.083333
219,35,1,0,1,13,0,0,1,1,11,8,0,11.07085,40,16.85897,8.916667
221,40,1,1,0,16,1,0,1,0,4,1,0,8.317226,35,9.256411,1.833333
223,37,1,0,0,16,1,0,1,0,10,1,0,13.08374,40,15.91667,8.75
224,38,1,1,0,13,0,0,1,0,11,3,1,5.628018,40,10.78846,4.666667
225,35,1,0,0,16,1,0,1,0,4,2,0,12.56039,45,16.69231,15.75
226,34,1,1,0,16,1,1,1,0,12,1,0,6.682766,40,7.692307,6.666667
227,42,1,0,0,15,0,1,1,1,4,3,0,5.636071,40,18.78846,1.333333
228,42,1,1,0,16,1,1,1,0,7,3,0,4.025765,15,4.980769,.3333333
231,42,1,1,0,16,1,0,1,0,8,3,0,18.06763,30,10.58974,9.833333
233,36,1,1,0,16,1,0,0,0,11,1,0,5.805152,40,13.92308,13.91667
236,36,1,1,0,18,1,0,1,1,11,1,0,24.66183,20,9.480769,3.75
237,36,1,0,1,17,1,0,1,1,11,3,1,7.21417,40,12.09615,1.75
242,39,1,1,0,12,0,0,1,0,11,6,1,4.694041,24,15.30128,8.75
243,35,1,1,0,18,1,0,1,0,12,2,1,12.69726,40,17.49359,8.583333
244,36,1,0,1,13,0,1,0,0,7,1,0,9.565216,40,16.26923,11.25
245,36,1,1,0,15,0,0,1,1,11,1,0,6.191625,40,9.846154,1
250,44,1,1,0,18,1,1,1,0,11,13,0,7.681153,50,9.064103,3.916667
254,39,1,0,0,12,0,1,1,0,11,1,0,9.806758,40,16.30769,9.75
255,45,2,1,0,14,0,0,1,1,5,3,0,4.025765,40,24.75,24.75
257,38,2,1,0,16,1,1,1,1,11,1,1,11.6103,40,11.65385,2.75
260,38,1,0,0,12,0,0,1,0,11,8,0,6.964568,40,10.8718,2.5
261,41,1,1,0,12,0,0,1,0,11,3,1,4.259257,40,5.365384,2.833333
262,44,1,0,0,14,0,1,1,0,11,2,,4.508855,40,14.57692,1.25
265,44,1,0,0,14,0,1,1,1,11,1,0,9.227052,40,11.01923,.75
269,40,1,1,0,16,1,0,1,0,11,13,1,3.31723,14,7.653846,1.75
270,38,1,1,0,16,1,0,1,1,11,8,1,8.05153,40,16.44872,10.66667
271,36,1,0,1,11,0,0,1,1,6,3,0,5.11272,40,11.33333,11.33333
273,42,1,1,0,12,0,0,1,0,8,8,,3.553512,20,9.019231,.3333333
275,38,1,1,0,10,0,0,1,1,4,6,,1.004952,16,7.480769,1
276,35,1,1,0,12,0,0,1,1,6,3,0,7.318838,22,16.16667,16.16667
279,35,1,1,0,16,1,0,1,0,6,13,,9.891299,55,15.55769,6.25
285,38,1,1,0,13,0,0,1,0,6,2,0,5.885666,50,10.10256,2.583333
287,41,1,1,0,12,0,0,1,0,11,8,1,4.863122,15,5.519231,.75
289,44,1,1,0,12,0,0,0,0,3,3,,2.801002,46,19.13461,.75
291,42,1,0,0,12,0,0,1,1,11,8,,3.051839,40,7.596154,4.583333
294,34,1,1,0,12,0,0,1,0,6,2,0,5.636071,30,15.60897,1.75
296,44,1,1,0,12,0,0,1,0,11,8,0,8.80837,32,15.23077,11.41667
298,37,1,1,0,16,1,1,1,1,7,2,0,23.24476,40,12.07051,2.25
299,41,2,0,0,16,1,0,1,1,7,1,0,12.22222,38,12.15385,6.75
301,38,1,0,1,18,1,0,1,0,11,2,0,12.971,40,14.90385,6.5
305,40,1,1,0,16,1,0,1,0,11,2,0,15.78904,40,15.80769,15.5
306,37,1,1,0,14,0,0,1,0,11,3,0,6.964568,40,16.83333,13.41667
307,35,1,0,0,12,0,0,1,0,6,4,,4.388621,22,13.83333,2.333333
308,37,1,1,0,18,1,0,1,0,11,1,,11.14827,50,14.17308,.75
312,36,1,1,0,15,1,0,1,0,11,1,0,9.661837,16,9.653846,.6666667
315,38,1,0,0,16,1,0,1,0,7,4,0,29.72623,50,14.88461,1.5
319,45,1,1,0,12,0,0,1,0,11,8,1,4.492752,18,8.346154,2.666667
322,41,1,0,0,14,0,0,0,0,6,6,,6.688963,16,12.09615,.8333333
324,44,1,1,0,12,0,0,1,0,6,3,,5.852843,25,7.365385,.9166667
