idcode,age,collgrad,occupation,white,elnwage1,elnwage2,elnwage3,elnwage4,elnwage5,elnwage6,elnwage7,elnwage8
1,37,0,6,0,2.096453,2.062777,1.83843,1.716332,1.822486,1.523397,1.256203,1.487478
2,37,0,5,0,2.163659,2.103062,1.824436,1.901021,1.810318,1.659405,1.439332,1.528872
3,42,0,3,0,2.145401,2.050359,1.80821,1.765911,1.766958,1.670428,1.441964,1.656156
4,43,1,8,1,2.333828,2.467392,1.979288,1.721086,2.255,1.305969,1.627774,2.196226
6,42,0,6,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
7,39,0,3,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
9,37,0,2,1,2.190381,2.130678,1.811497,2.031008,1.771168,1.785529,1.641779,1.411768
12,40,1,2,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
13,40,0,3,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
14,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
15,39,1,1,1,2.385918,2.506356,2.014681,1.841952,2.172,1.334822,1.644274,2.073048
16,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
18,40,0,5,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
19,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
20,39,0,1,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
22,41,0,1,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
23,42,1,1,1,2.356221,2.476334,1.993739,1.754497,2.204828,1.3226,1.63655,2.160094
24,41,1,1,1,2.372368,2.485808,2.004455,1.785778,2.17427,1.332953,1.642226,2.12752
25,42,1,1,1,2.423427,2.516619,1.979745,1.939186,2.192659,1.458608,1.81968,2.201488
36,37,0,4,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
39,44,1,1,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
44,41,1,1,1,2.372368,2.485808,2.004455,1.785778,2.17427,1.332953,1.642226,2.12752
45,35,0,3,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
46,44,1,3,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
47,35,0,5,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
48,35,0,3,1,2.153953,2.15549,1.79184,2.070146,1.925815,1.73717,1.61902,1.385763
50,36,1,1,1,2.426595,2.581461,1.98801,2.09493,2.303535,1.426545,1.80722,2.059422
51,38,0,1,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
54,40,0,7,1,2.198168,2.097458,1.812967,1.95633,1.686308,1.810979,1.65266,1.477464
57,42,0,3,1,2.172123,2.077975,1.79527,1.895897,1.727808,1.796552,1.64441,1.539053
62,38,0,3,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
63,44,1,1,1,2.372393,2.499269,1.947106,1.870236,2.312618,1.419068,1.799027,2.27731
64,38,0,7,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
66,39,0,4,1,2.20182,2.107998,1.816212,1.983352,1.69498,1.808774,1.652134,1.452007
67,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
70,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
71,34,0,3,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
72,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
73,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
75,39,0,6,0,2.107892,2.040097,1.843146,1.668676,1.746298,1.546642,1.266558,1.527717
78,40,0,3,1,2.198168,2.097458,1.812967,1.95633,1.686308,1.810979,1.65266,1.477464
80,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
85,38,0,3,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
86,44,1,7,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
103,36,1,8,1,2.426595,2.581461,1.98801,2.09493,2.303535,1.426545,1.80722,2.059422
104,41,1,8,1,2.372368,2.485808,2.004455,1.785778,2.17427,1.332953,1.642226,2.12752
105,41,1,3,1,2.372368,2.485808,2.004455,1.785778,2.17427,1.332953,1.642226,2.12752
106,38,0,3,0,2.172502,2.091455,1.828662,1.878258,1.762416,1.674167,1.44606,1.547212
107,43,0,6,0,2.123007,2.041417,1.793758,1.7325,1.81713,1.653797,1.433187,1.692288
110,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
121,39,0,3,0,2.175098,2.080382,1.829152,1.853365,1.734129,1.68265,1.449687,1.569111
123,41,0,6,0,2.161547,2.059834,1.818926,1.797192,1.7364,1.680781,1.447639,1.623583
126,39,0,1,0,2.175098,2.080382,1.829152,1.853365,1.734129,1.68265,1.449687,1.569111
128,36,0,1,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
129,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
130,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
131,41,0,3,1,2.188269,2.08745,1.805987,1.927178,1.697251,1.806905,1.650085,1.506479
132,36,0,6,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
134,42,0,2,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
137,36,1,8,0,2.332666,2.51356,2.014944,1.780255,2.354853,1.164412,1.421644,2.135131
139,44,0,3,0,2.094366,2.033009,1.775571,1.69696,1.886917,1.630887,1.42131,1.731978
141,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
142,43,1,1,1,2.333828,2.467392,1.979288,1.721086,2.255,1.305969,1.627774,2.196226
143,37,0,1,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
144,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
147,40,0,4,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
152,37,1,8,1,2.374479,2.529036,2.009965,1.889607,2.248188,1.311577,1.633919,2.032809
159,36,0,4,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
166,38,0,8,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
167,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
168,41,1,8,1,2.372368,2.485808,2.004455,1.785778,2.17427,1.332953,1.642226,2.12752
169,36,1,8,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
172,44,1,1,1,2.372393,2.499269,1.947106,1.870236,2.312618,1.419068,1.799027,2.27731
173,43,0,7,0,2.123007,2.041417,1.793758,1.7325,1.81713,1.653797,1.433187,1.692288
176,38,0,1,0,2.172502,2.091455,1.828662,1.878258,1.762416,1.674167,1.44606,1.547212
183,43,0,2,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
184,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
188,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
195,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
202,36,0,7,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
203,41,0,4,1,2.188269,2.08745,1.805987,1.927178,1.697251,1.806905,1.650085,1.506479
204,38,0,2,0,2.172502,2.091455,1.828662,1.878258,1.762416,1.674167,1.44606,1.547212
206,37,0,1,1,2.190381,2.130678,1.811497,2.031008,1.771168,1.785529,1.641779,1.411768
207,38,1,1,0,2.423806,2.530099,2.013136,1.921547,2.227267,1.336223,1.621331,2.209648
210,37,0,6,0,2.096453,2.062777,1.83843,1.716332,1.822486,1.523397,1.256203,1.487478
213,43,0,6,1,2.149729,2.069034,1.780819,1.862486,1.77798,1.779921,1.635633,1.575185
215,36,1,3,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
218,35,0,2,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
219,35,0,7,1,2.153953,2.15549,1.79184,2.070146,1.925815,1.73717,1.61902,1.385763
221,40,1,1,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
223,37,1,1,1,2.374479,2.529036,2.009965,1.889607,2.248188,1.311577,1.633919,2.032809
224,38,0,3,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
225,35,1,2,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
226,34,1,1,1,2.310466,2.567054,1.974877,1.94512,2.509581,1.22962,1.59513,1.999139
227,42,0,3,1,2.172123,2.077975,1.79527,1.895897,1.727808,1.796552,1.64441,1.539053
228,42,1,3,1,2.356221,2.476334,1.993739,1.754497,2.204828,1.3226,1.63655,2.160094
231,42,1,3,1,2.356221,2.476334,1.993739,1.754497,2.204828,1.3226,1.63655,2.160094
233,36,1,1,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
236,36,1,1,1,2.426595,2.581461,1.98801,2.09493,2.303535,1.426545,1.80722,2.059422
237,36,1,3,1,2.426595,2.581461,1.98801,2.09493,2.303535,1.426545,1.80722,2.059422
242,39,0,6,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
243,35,1,2,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
244,36,0,1,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
245,36,0,1,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
250,44,1,8,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
254,39,0,1,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
255,45,0,3,0,2.059478,2.025133,1.753649,1.659291,1.976318,1.601699,1.406332,1.775227
257,38,1,1,0,2.423806,2.530099,2.013136,1.921547,2.227267,1.336223,1.621331,2.209648
260,38,0,7,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
261,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
262,44,0,2,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
265,44,0,1,1,2.121089,2.060625,1.762632,1.826946,1.847767,1.757012,1.623756,1.614875
269,40,1,8,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
270,38,1,7,1,2.450528,2.557715,2.000197,2.051533,2.188118,1.462347,1.823777,2.092544
271,36,0,3,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
273,42,0,7,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
275,38,0,6,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
276,35,0,3,1,2.153953,2.15549,1.79184,2.070146,1.925815,1.73717,1.61902,1.385763
279,35,1,8,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
285,38,0,2,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
287,41,0,7,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
289,44,0,3,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
291,42,0,7,1,2.172123,2.077975,1.79527,1.895897,1.727808,1.796552,1.64441,1.539053
294,34,0,2,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
296,44,0,7,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
298,37,1,2,1,2.441685,2.569322,1.995971,2.074297,2.236019,1.447585,1.817049,2.074204
299,41,1,1,0,2.412851,2.498477,2.0034,1.840481,2.201251,1.342837,1.62291,2.286018
301,38,1,2,1,2.383322,2.51743,2.014191,1.866844,2.200286,1.326339,1.640647,2.05115
305,40,1,2,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
306,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
307,35,0,4,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
308,37,1,1,1,2.374479,2.529036,2.009965,1.889607,2.248188,1.311577,1.633919,2.032809
312,36,1,1,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
315,38,1,4,1,2.383322,2.51743,2.014191,1.866844,2.200286,1.326339,1.640647,2.05115
319,45,0,7,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
322,41,0,6,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
324,44,0,3,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
325,34,0,7,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
327,38,0,7,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
329,42,0,1,0,2.145401,2.050359,1.80821,1.765911,1.766958,1.670428,1.441964,1.656156
330,43,1,3,0,2.307106,2.439776,1.992227,1.5911,2.294149,1.179845,1.425328,2.313329
331,37,0,6,0,2.163659,2.103062,1.824436,1.901021,1.810318,1.659405,1.439332,1.528872
332,36,0,6,0,2.148568,2.115201,1.816475,1.921655,1.877834,1.638364,1.429504,1.51409
333,35,1,1,0,2.378535,2.566517,1.989253,1.983448,2.429815,1.273101,1.591844,2.165302
338,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
341,41,0,3,0,2.094341,2.019548,1.83292,1.612503,1.748569,1.544773,1.264509,1.582189
345,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
347,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
350,39,0,1,0,2.107892,2.040097,1.843146,1.668676,1.746298,1.546642,1.266558,1.527717
352,35,0,3,1,2.153953,2.15549,1.79184,2.070146,1.925815,1.73717,1.61902,1.385763
354,36,0,7,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
356,43,1,2,1,2.333828,2.467392,1.979288,1.721086,2.255,1.305969,1.627774,2.196226
358,45,0,2,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
359,44,0,1,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
360,37,0,3,1,2.190381,2.130678,1.811497,2.031008,1.771168,1.785529,1.641779,1.411768
363,41,0,2,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
367,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
376,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
377,38,1,4,1,2.450528,2.557715,2.000197,2.051533,2.188118,1.462347,1.823777,2.092544
379,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
382,42,0,2,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
384,41,0,8,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
389,40,0,3,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
392,43,0,6,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
395,36,1,4,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
396,37,0,7,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
397,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
398,35,1,2,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
399,37,1,2,1,2.374479,2.529036,2.009965,1.889607,2.248188,1.311577,1.633919,2.032809
402,36,0,6,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
403,40,0,3,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
406,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
407,37,1,1,1,2.374479,2.529036,2.009965,1.889607,2.248188,1.311577,1.633919,2.032809
409,36,0,3,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
410,43,0,1,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
414,36,1,3,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
415,35,0,1,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
