idcode,year,age,collgrad,occ_code,white,elnwage1,elnwage2,elnwage3,elnwage4,elnwage5,elnwage6,elnwage7,elnwage8
1,70,18,0,3,0,1.544086,1.397792,1.537295,1.246336,1.320908,1.387994,1.058357,1.483785
1,71,19,0,6,0,1.577144,1.383903,1.540686,1.210797,1.305139,1.379486,1.111044,1.48257
1,72,20,0,6,0,1.623282,1.433993,1.567247,1.243774,1.361055,1.402306,1.151081,1.498131
1,73,21,0,6,0,1.667218,1.481975,1.592403,1.275412,1.413389,1.423908,1.188791,1.513502
1,75,23,0,6,0,1.74848,1.571616,1.638501,1.334667,1.507314,1.46346,1.257228,1.543677
1,77,25,0,7,0,1.836214,1.718912,1.703555,1.458419,1.662179,1.530689,1.306032,1.590061
1,78,26,0,6,0,1.869136,1.756355,1.721687,1.483356,1.696606,1.546204,1.332104,1.604486
1,80,28,0,6,0,1.92837,1.824919,1.753736,1.529211,1.754718,1.573584,1.377264,1.632768
1,83,31,0,6,0,2.0007,1.911956,1.791274,1.587941,1.815026,1.605525,1.427546,1.673771
1,85,33,0,6,0,2.037906,1.959442,1.809275,1.620394,1.837325,1.620732,1.44943,1.700159
1,87,35,0,6,0,2.010232,1.95249,1.777738,1.541656,1.813589,1.568673,1.31154,1.609212
1,88,37,0,6,0,2.029815,1.983114,1.7845,1.563388,1.807238,1.574142,1.314802,1.634086
2,71,19,0,3,0,1.577144,1.383903,1.540686,1.210797,1.305139,1.379486,1.111044,1.48257
2,72,20,0,3,0,1.623282,1.433993,1.567247,1.243774,1.361055,1.402306,1.151081,1.498131
2,73,21,0,6,0,1.667218,1.481975,1.592403,1.275412,1.413389,1.423908,1.188791,1.513502
2,75,23,0,6,0,1.74848,1.571616,1.638501,1.334667,1.507314,1.46346,1.257228,1.543677
2,77,25,0,6,0,1.820932,1.652826,1.67898,1.388562,1.586913,1.498144,1.316354,1.573095
2,78,26,0,6,0,1.853853,1.690269,1.697111,1.413499,1.621341,1.51366,1.342426,1.58752
2,80,28,0,6,0,1.913087,1.758833,1.729161,1.459353,1.679453,1.54104,1.387586,1.615802
2,82,30,0,6,0,1.96351,1.818965,1.755591,1.499847,1.72324,1.56355,1.423435,1.643327
2,83,31,0,6,0,1.985417,1.84587,1.766698,1.518084,1.739761,1.57298,1.437868,1.656805
2,85,33,0,6,0,2.037906,1.959442,1.809275,1.620394,1.837325,1.620732,1.44943,1.700159
2,87,35,0,6,0,2.066301,1.998497,1.821656,1.647487,1.845298,1.63107,1.462002,1.725791
2,88,37,0,5,0,2.085884,2.029121,1.828418,1.66922,1.838947,1.636539,1.465264,1.750664
3,68,22,0,6,0,1.724233,1.593936,1.64073,1.375567,1.537407,1.476837,1.213852,1.54565
3,69,23,0,6,0,1.763763,1.637702,1.663076,1.404525,1.582579,1.496005,1.246906,1.560643
3,70,24,0,6,0,1.80109,1.679361,1.684018,1.432142,1.624169,1.513955,1.277633,1.575447
3,71,25,0,3,0,1.836214,1.718912,1.703555,1.458419,1.662179,1.530689,1.306032,1.590061
3,72,26,0,3,0,1.869136,1.756355,1.721687,1.483356,1.696606,1.546204,1.332104,1.604486
3,73,27,0,3,0,1.899854,1.791691,1.738414,1.506954,1.727453,1.560503,1.355848,1.618722
3,75,29,0,3,0,1.954683,1.856039,1.767654,1.550128,1.778402,1.585448,1.396352,1.646625
3,77,31,0,3,0,2.0007,1.911956,1.791274,1.587941,1.815026,1.605525,1.427546,1.673771
3,78,32,0,3,0,2.020405,1.936753,1.800977,1.604838,1.827966,1.613737,1.439652,1.68706
3,80,34,0,3,0,2.053205,1.980024,1.816168,1.634611,1.843102,1.626509,1.45688,1.71307
3,82,36,0,3,0,2.077194,2.014863,1.82574,1.659024,1.843913,1.634413,1.464797,1.738322
3,83,37,0,3,0,2.085884,2.029121,1.828418,1.66922,1.838947,1.636539,1.465264,1.750664
3,85,39,0,3,0,2.096656,2.051315,1.829561,1.685592,1.81827,1.637138,1.459215,1.774781
3,87,41,0,3,0,2.098617,2.065077,1.825084,1.696604,1.783268,1.632869,1.443856,1.79814
3,88,42,0,3,0,2.096293,2.068796,1.820738,1.700099,1.760395,1.628909,1.432685,1.809535
4,70,24,1,8,1,2.070424,2.069962,1.826572,1.8332,2.092613,1.727969,1.818341,1.994506
4,71,25,1,8,1,2.034196,1.99742,1.777615,1.683789,2.023649,1.649761,1.7066,1.875577
4,72,26,1,8,1,2.067118,2.034863,1.795747,1.708726,2.058076,1.665277,1.732672,1.890002
4,73,27,1,8,1,2.097836,2.070199,1.812474,1.732323,2.088923,1.679575,1.756416,1.904237
4,75,29,1,8,1,2.152665,2.134547,1.841714,1.775497,2.139872,1.704521,1.796921,1.93214
