Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Odo1,Odo2,Odo3,Odo4,Odo5,Odo6,Odo7,Odo8,Odo9,Odo10,Odo11,Odo12,Odo13,Odo14,Odo15,Odo16,Odo17,Odo18,Odo19,Odo20,RouteUsage,Branded,Xst1,Xst2,Xst3,Xst4,Xst5,Xst6,Xst7,Xst8,Xst9,Xst10,Xst11,Xst12,Xst13,Xst14,Xst15,Xst16,Xst17,Xst18,Xst19,Xst20,Zst
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9.125,9.375,9.5,10.125,10.25,11.5,0,1.875,1.875,2.875,3.375,6.5,9.25,9.625,9.75,12.875,12.875,14.75,0,1.125,0.88,1,74,76,77,82,83,93,1,16,16,24,28,53,75,78,79,104,104,119,1,10,64
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1.125,1.625,1.625,1.625,3.5,6,8.625,10.75,0,0.125,0.875,2.5,3.375,4.5,4.75,5.75,0,0.125,0.5,0.6,1,1,10,14,14,14,29,49,70,87,1,2,8,21,28,37,39,47,1,2,5,36
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2.375,3.375,3.5,4.25,4.75,5.25,0,0.25,0.5,1,1.25,1.375,1.375,2,2.25,7,0,1.25,3.25,3.375,1.25,0,20,28,29,35,39,43,1,3,5,9,11,12,12,17,19,57,1,11,27,28,101
0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,2.75,2.875,5.125,0,1.25,2.125,3.375,4.75,5.5,6.75,0,6.625,0,0.125,0.5,5,5.125,6.125,0.47,1,1,1,23,24,42,1,11,18,28,39,45,55,1,54,1,2,5,41,42,50,23
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,8.625,0,0.875,1.25,2.625,2.625,3.125,6.75,7.125,8,8.125,0,1.375,2.75,4.625,4.875,5.25,8.125,8.75,0.9,1,49,70,1,8,11,22,22,26,55,58,65,66,1,12,23,38,40,43,66,71,66
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.125,0.75,1.5,2.625,2.75,2.75,6,8,8,8.625,0,0.375,1,2.5,3.125,4.375,0,2.625,3.25,5.375,0.86,0,2,7,13,22,23,23,49,65,65,70,1,4,9,21,26,36,1,22,27,44,62
1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,13.375,14.125,0,1.125,0,0.375,3.75,5.375,0,0.25,3.625,6.75,13,14.625,20.625,25,0,1.75,2.125,3.25,0.64,0,108,114,1,10,1,4,31,44,1,3,30,55,105,118,166,201,1,15,18,27,40
1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0.125,1.875,3.25,3.375,3.375,5.25,6.75,7.125,0,0,0.375,0.875,6.5,6.5,10.25,0,1.25,6.125,17.25,17.375,0.39,1,2,16,27,28,28,43,55,58,1,1,4,8,53,53,83,1,11,50,139,140,15
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,2.25,3.125,10.75,0,3.5,5.875,12.375,21.125,25,25,25,0,2.875,3.625,9.25,23.75,25,0,1.5,0.27,1,1,19,26,87,1,29,48,100,170,201,201,201,1,24,30,75,191,201,1,13,3
1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,13.75,15.25,15.75,0,1.25,2,3.625,6.625,6.625,7.625,7.625,0,0,0.125,0.625,2.625,2.875,4.375,4.75,8.625,0.67,1,111,123,127,1,11,17,30,54,54,62,62,1,1,2,6,22,24,36,39,70,43
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1.375,13.5,0,1.125,2.875,8.5,8.75,10.125,0,0,0,1.5,0,0.5,3.375,0,0,0,1.125,0.43,0,1,12,109,1,10,24,69,71,82,1,1,1,13,1,5,28,1,1,1,10,19
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.875,0,1.625,4,4.125,6.5,7.125,7.125,7.25,7.75,8.75,9.125,9.5,9.5,11.5,11.75,12.375,13.375,14.125,14.5,0.98,1,16,1,14,33,34,53,58,58,59,63,71,74,77,77,93,95,100,108,114,117,74
1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,8.625,10.125,10.625,15.625,16.25,16.25,18.375,20.25,0,0.25,0.75,1.375,1.375,0,0,1.875,2.75,2.875,4,7,0.62,1,70,82,86,126,131,131,148,163,1,3,7,12,12,1,1,16,23,24,33,57,38
