id,black,hispanic,female,uniqueTime,grad4yr,gradHS,schoolt,logwage,asvabAR,asvabCS,asvabMK,asvabNO,asvabPC,asvabWK
1,0,0,1,3202,1,1,5.166667,2.739501,.0935452,1.946647,.9347532,.9830231,-.2499325,-.5370622
2,0,1,0,3204,0,1,5.25,2.571671,-.3108169,1.252667,.4914127,.2105954,1.081653,.2363776
4,0,1,1,3209,0,1,3.583333,2.067102,-.8162696,.8914081,1.007516,1.09337,-.2499325,-.205588
11,0,1,1,3205,0,1,8.25,2.13177,-.2097264,.5753067,-.0246902,.0833853,-.4847125,-1.264531
18,1,0,0,3209,0,1,2,1.882384,-.5486919,-2.90181,-1.263337,-3.3856,-2.38047,-2.113522
21,0,1,0,3203,0,1,1.916667,1.439623,-1.306913,-2.475602,-1.572999,-1.092532,-2.114152,-2.00425
22,0,1,0,3205,0,1,2.25,2.451224,-1.018451,-.1622635,-1.160117,.431289,-1.581518,-1.420993
23,0,1,1,3210,0,1,8.916667,2.855719,-1.422813,-2.90181,-1.572999,-2.053932,-1.048884,-2.113522
31,0,0,0,3204,1,1,5,3.31327,1.306632,1.589068,1.317177,1.09337,.815336,-1.641976
38,0,0,1,3202,1,1,5.833333,2.566124,1.667297,.153838,1.110736,1.09337,.2827018,.0153948
39,0,1,0,3209,1,1,6,2.150048,-1.422813,-.2321756,-1.77944,-1.33426,-1.847835,-2.113522
41,0,0,1,3210,1,1,7.916667,2.343032,1.00336,-.1622635,1.317177,1.09337,.815336,.7888345
47,1,0,1,3202,0,1,3.833333,1.476919,-.6140885,.7253085,.181751,.7623295,.5490189,.0153948
49,1,0,1,3211,0,1,1.333333,1.559183,.5989979,1.312877,1.110736,1.203717,1.34797,-.0950966
51,1,0,0,3205,0,1,4.166667,1.815275,-.3108169,-.5837322,-.0246902,1.09337,.2827018,.8993259
55,0,1,1,3209,1,1,8.916667,2.258903,.7000884,-.7944665,1.110736,1.203717,-.2135829,-.9790277
56,0,0,1,3209,1,1,7.416667,2.907728,1.407722,1.523611,1.317177,.8726763,1.34797,1.2308
59,1,0,1,3207,0,1,4.75,1.936855,-.3108169,.4164813,.5946333,.9830231,.815336,.7888345
61,1,0,1,3206,0,1,4.333333,1.488414,-.3108169,.4164813,.2849715,.3209422,.2827018,-.205588
62,1,0,0,3208,1,1,5,1.855678,.2957263,-1.005201,.8010744,-.3411387,.2827018,.8993259
70,1,0,0,3203,1,1,6.833333,2.499148,.032704,.3126106,.5946333,.0833853,.0163846,.4573603
76,0,0,0,3210,0,1,4.583333,2.9711,.1946357,-.5626587,.2849715,-.20105,-1.278433,-2.504821
86,0,0,1,3201,1,1,9.666667,2.056836,-1.16983,.3645723,-1.469778,-.7028038,-1.048884,-1.089519
89,0,0,0,3212,1,1,8.916667,2.787956,-.1086359,.3645723,1.317177,.9830231,1.081653,.4573603
94,1,0,1,3202,0,1,5.666667,2.363546,-.2097264,.6806738,.2849715,.431289,1.34797,1.2308
97,0,1,0,3205,1,1,5.75,2.649914,.5989979,1.034428,.5946333,1.203717,.2827018,.2363776
100,1,0,1,3210,0,0,3.916667,1.915591,-1.624994,-1.972746,-.8504548,-1.665301,-1.581518,-2.28615
104,0,0,1,3212,1,1,4.833333,2.634941,-.512998,-.0568964,.8010744,-.0100983,.5490189,.4573603
114,0,0,1,3204,1,1,5.5,2.132771,.4979073,.8276221,.5719132,-.4514855,.815336,-.0950966
126,0,0,0,3206,0,1,1.75,2.343557,.2957263,.4699395,.2849715,.1002486,-.5162496,-.6475536
127,0,0,1,3208,1,1,5.916667,2.316757,-.8162696,.153838,1.007516,.9830231,.2827018,.3468689
128,0,0,1,3203,1,1,5.5,2.499148,.2957263,1.034428,1.007516,1.09337,.5490189,1.009817
137,0,0,1,3206,0,1,.5,2.468502,1.00336,-.1622635,.0308714,1.09337,.815336,.3058536
151,1,0,1,3210,0,1,2.333333,3.214576,-1.306913,.0484708,-1.160117,-.4514855,-1.004498,-.5370622
152,1,0,0,3206,0,1,1.5,1.716497,-1.220632,.1721622,-1.469778,.8726763,.5490189,.3468689
155,0,0,0,3209,1,1,3.75,3.554551,1.812084,1.372266,1.420398,1.203717,1.34797,1.009817
156,0,0,0,3212,1,1,9.25,4.039495,1.407722,1.20751,1.317177,-.5618324,1.081653,.8993259
164,0,0,1,3204,0,1,4.916667,2.297175,.1946357,-.7944665,-.0632254,.9830231,.2827018,.3468689
165,0,0,0,3207,1,1,5.25,3.06213,-.1086359,-.0568964,.5946333,1.203717,-1.315201,.2363776
166,0,0,1,3202,1,1,6,2.747956,1.609903,2.264454,1.110736,.9830231,1.081653,.2363776
176,0,0,0,3202,1,1,6,3.074339,1.407722,1.946647,1.626839,1.09337,.815336,.8993259
177,0,0,1,3212,1,1,9.833333,2.835415,.1946357,-.2676307,-.1279108,-.2307919,.0163846,.3468689
181,0,0,1,3212,1,1,10.75,2.602774,1.812084,1.946647,1.626839,1.09337,1.34797,1.451783
187,0,1,0,3202,1,1,6.083333,2.699788,1.10445,-.0568964,1.317177,.9830231,.815336,.8529661
194,0,1,1,3201,0,1,4.5,2.098755,1.10445,-.1622635,.2174807,-.5618324,-.2499325,-.4265708
199,0,0,0,3205,1,1,6.416667,2.081477,1.00336,-.6890993,-.0632254,-.1204451,-.2499325,.6783431
202,0,0,0,3210,0,1,2.25,2.538236,-.2097264,-.5626587,.2174807,.5416358,-.5162496,-.9790277
212,0,1,0,3209,0,1,2.166667,2.204063,.5506939,.0484708,.4914127,-.2307919,-1.004498,-.758045
216,0,1,1,3205,0,1,8.916667,2.044688,.5989979,.6806738,-.4375725,.8726763,.815336,.4573603
222,0,1,0,3210,0,1,9.25,3.00084,.1946357,.8914081,.5946333,.0833853,-.5162496,.6783431
224,0,0,1,3201,0,1,1.5,1.955437,.2957263,.2592051,.8010744,-.3567581,.5490189,.7888345
225,0,0,0,3201,0,1,2.083333,3.066339,-.1086359,-.3729979,-1.160117,-.0221957,.5490189,.7888345
237,0,0,0,3208,1,1,7,2.485538,.2957263,1.312877,-.4375725,.5416358,-.2499325,.8993259
241,0,1,1,3209,1,1,10.25,2.391667,-.4031622,-.1622635,.181751,.2105954,.815336,-.4265708
246,0,1,0,3201,1,1,10,2.921776,1.609903,.0484708,1.317177,-.2644852,.5490189,1.009817
247,0,0,0,3208,1,1,5.25,2.355914,1.609903,1.125868,1.420398,.9830231,1.34797,.8993259
248,0,0,1,3202,1,1,5.166667,2.276005,.0935452,.2592051,1.420398,1.203717,1.081653,.8529661
251,0,1,0,3207,1,1,5.666667,1.877878,-.2942341,.4164813,.8010744,-.5618324,.815336,-.205588
254,0,0,0,3203,0,1,6.333333,1.806854,.4979073,-.6890993,.5946333,.1002486,.1149735,.2363776
258,0,0,0,3212,1,1,8,1.944028,.1946357,.5846285,.5946333,-.5618324,-.7825667,-.5370622
260,1,0,0,3211,1,1,6.5,1.793374,-.9120901,-.7944665,-.3343519,.5416358,-1.278433,-1.494152
261,1,0,0,3207,0,1,3.416667,2.228081,-.9173601,-.5626587,-.9536754,.2105954,-.7825667,-2.113522
264,0,0,0,3204,0,1,9.083333,1.97962,-.7292075,-.0568964,1.007516,-.4514855,-.7825667,.4573603
265,0,1,0,3202,0,1,3.25,2.152573,-.9120901,-.2676307,-1.469778,-.0100983,-.5162496,-2.00425
267,0,0,1,3211,1,1,6.333333,2.190711,1.306632,-.478365,1.110736,.7623295,.8968619,.7755756
268,0,1,0,3211,0,1,5.083333,2.704315,-.512998,-1.022809,-.4375725,-.4514855,-.2499325,.2363776
271,0,0,1,3203,0,0,.5,1.954242,-.9173601,-.2676307,-.8504548,.1002486,-1.004498,-1.641976
278,0,0,0,3202,0,1,2.166667,2.059577,.5989979,.0484708,.4635329,-.6721792,.0163846,.4573603
282,0,0,0,3205,0,1,2.666667,1.456901,-.8162696,-.4568678,-1.249383,-2.131209,-.2499325,-.1303965
